game_id,game_date,home_team,away_team,y_true_home_win,p_model,p_oof,p_market,odds_decimal,source_prediction_ref,source_odds_ref,paper_only,production_ready
MIA-20240413-0,2024-04-13,MIA,ATL,1,,,,,,,True,False
NYN-20240413-0,2024-04-13,NYN,KCA,0,,,,,,,True,False
PHI-20240413-0,2024-04-13,PHI,PIT,1,,,,,,,True,False
BAL-20240413-0,2024-04-13,BAL,MIL,0,,,,,,,True,False
BOS-20240413-0,2024-04-13,BOS,ANA,1,,,,,,,True,False
CHA-20240413-0,2024-04-13,CHA,CIN,0,,,,,,,True,False
CLE-20240413-1,2024-04-13,CLE,NYA,0,,,,,,,True,False
CLE-20240413-2,2024-04-13,CLE,NYA,0,,,,,,,True,False
DET-20240413-1,2024-04-13,DET,MIN,0,,,,,,,True,False
DET-20240413-2,2024-04-13,DET,MIN,0,,,,,,,True,False
HOU-20240413-0,2024-04-13,HOU,TEX,1,,,,,,,True,False
OAK-20240413-0,2024-04-13,OAK,WAS,0,,,,,,,True,False
SEA-20240413-0,2024-04-13,SEA,CHN,0,,,,,,,True,False
TBA-20240413-0,2024-04-13,TBA,SFN,0,,,,,,,True,False
TOR-20240413-0,2024-04-13,TOR,COL,1,,,,,,,True,False
ARI-20240414-0,2024-04-14,ARI,SLN,1,,,,,,,True,False
LAN-20240414-0,2024-04-14,LAN,SDN,0,,,,,,,True,False
MIA-20240414-0,2024-04-14,MIA,ATL,0,,,,,,,True,False
NYN-20240414-0,2024-04-14,NYN,KCA,1,,,,,,,True,False
PHI-20240414-0,2024-04-14,PHI,PIT,0,,,,,,,True,False
BAL-20240414-0,2024-04-14,BAL,MIL,1,,,,,,,True,False
BOS-20240414-0,2024-04-14,BOS,ANA,1,,,,,,,True,False
CHA-20240414-0,2024-04-14,CHA,CIN,0,,,,,,,True,False
CLE-20240414-0,2024-04-14,CLE,NYA,1,,,,,,,True,False
DET-20240414-0,2024-04-14,DET,MIN,1,,,,,,,True,False
HOU-20240414-0,2024-04-14,HOU,TEX,1,,,,,,,True,False
OAK-20240414-0,2024-04-14,OAK,WAS,1,,,,,,,True,False
SEA-20240414-0,2024-04-14,SEA,CHN,0,,,,,,,True,False
TBA-20240414-0,2024-04-14,TBA,SFN,1,,,,,,,True,False
TOR-20240414-0,2024-04-14,TOR,COL,1,,,,,,,True,False
ARI-20240415-0,2024-04-15,ARI,CHN,0,,,,,,,True,False
LAN-20240415-0,2024-04-15,LAN,WAS,0,,,,,,,True,False
