"game_id","game_date","season","away_team","home_team","source_name","source_row_number","away_score","home_score","y_true_home_win"
"COL-20240406-0","2024-04-06",2024,"TBA","COL","Retrosheet",118,8,6,0
"MIL-20240406-0","2024-04-06",2024,"SEA","MIL","Retrosheet",119,5,3,0
"PIT-20240406-0","2024-04-06",2024,"BAL","PIT","Retrosheet",120,4,5,1
"SFN-20240406-0","2024-04-06",2024,"SDN","SFN","Retrosheet",121,4,0,0
"SLN-20240406-0","2024-04-06",2024,"MIA","SLN","Retrosheet",122,1,3,1
"WAS-20240406-0","2024-04-06",2024,"PHI","WAS","Retrosheet",123,5,2,0
"ANA-20240406-0","2024-04-06",2024,"BOS","ANA","Retrosheet",124,1,2,1
"DET-20240406-0","2024-04-06",2024,"OAK","DET","Retrosheet",125,4,0,0
"KCA-20240406-0","2024-04-06",2024,"CHA","KCA","Retrosheet",126,0,3,1
"MIN-20240406-0","2024-04-06",2024,"CLE","MIN","Retrosheet",127,3,1,0
"NYA-20240406-0","2024-04-06",2024,"TOR","NYA","Retrosheet",128,8,9,1
"TEX-20240406-0","2024-04-06",2024,"HOU","TEX","Retrosheet",129,2,7,1
"ATL-20240407-0","2024-04-07",2024,"ARI","ATL","Retrosheet",130,2,5,1
"CHN-20240407-0","2024-04-07",2024,"LAN","CHN","Retrosheet",131,1,8,1
"CIN-20240407-0","2024-04-07",2024,"NYN","CIN","Retrosheet",132,3,1,0
"COL-20240407-0","2024-04-07",2024,"TBA","COL","Retrosheet",133,3,2,0
"MIL-20240407-0","2024-04-07",2024,"SEA","MIL","Retrosheet",134,4,12,1
"PIT-20240407-0","2024-04-07",2024,"BAL","PIT","Retrosheet",135,2,3,1
"SFN-20240407-0","2024-04-07",2024,"SDN","SFN","Retrosheet",136,2,3,1
"SLN-20240407-0","2024-04-07",2024,"MIA","SLN","Retrosheet",137,10,3,0
"WAS-20240407-0","2024-04-07",2024,"PHI","WAS","Retrosheet",138,2,3,1
"ANA-20240407-0","2024-04-07",2024,"BOS","ANA","Retrosheet",139,12,2,0
"DET-20240407-0","2024-04-07",2024,"OAK","DET","Retrosheet",140,7,1,0
"KCA-20240407-0","2024-04-07",2024,"CHA","KCA","Retrosheet",141,3,5,1
"NYA-20240407-0","2024-04-07",2024,"TOR","NYA","Retrosheet",142,3,8,1
"TEX-20240407-0","2024-04-07",2024,"HOU","TEX","Retrosheet",143,3,1,0
"ATL-20240408-0","2024-04-08",2024,"NYN","ATL","Retrosheet",144,8,7,0
"CIN-20240408-0","2024-04-08",2024,"MIL","CIN","Retrosheet",145,8,10,1
"COL-20240408-0","2024-04-08",2024,"ARI","COL","Retrosheet",146,5,7,1
"PIT-20240408-0","2024-04-08",2024,"DET","PIT","Retrosheet",147,4,7,1
"SDN-20240408-0","2024-04-08",2024,"CHN","SDN","Retrosheet",148,8,9,1
"SFN-20240408-0","2024-04-08",2024,"WAS","SFN","Retrosheet",149,8,1,0
"SLN-20240408-0","2024-04-08",2024,"PHI","SLN","Retrosheet",150,5,3,0
"ANA-20240408-0","2024-04-08",2024,"TBA","ANA","Retrosheet",151,1,7,1
"CLE-20240408-0","2024-04-08",2024,"CHA","CLE","Retrosheet",152,0,4,1
"MIN-20240408-0","2024-04-08",2024,"LAN","MIN","Retrosheet",153,4,2,0
"NYA-20240408-0","2024-04-08",2024,"MIA","NYA","Retrosheet",154,0,7,1
"TEX-20240408-0","2024-04-08",2024,"HOU","TEX","Retrosheet",155,10,5,0
"TOR-20240408-0","2024-04-08",2024,"SEA","TOR","Retrosheet",156,2,5,1
"ATL-20240409-0","2024-04-09",2024,"NYN","ATL","Retrosheet",157,5,6,1
"CIN-20240409-0","2024-04-09",2024,"MIL","CIN","Retrosheet",158,9,5,0
"COL-20240409-0","2024-04-09",2024,"ARI","COL","Retrosheet",159,3,2,0
"PIT-20240409-0","2024-04-09",2024,"DET","PIT","Retrosheet",160,5,3,0
"SDN-20240409-0","2024-04-09",2024,"CHN","SDN","Retrosheet",161,5,1,0
"SFN-20240409-0","2024-04-09",2024,"WAS","SFN","Retrosheet",162,5,3,0
"SLN-20240409-0","2024-04-09",2024,"PHI","SLN","Retrosheet",163,0,3,1
"ANA-20240409-0","2024-04-09",2024,"TBA","ANA","Retrosheet",164,6,4,0
"BOS-20240409-0","2024-04-09",2024,"BAL","BOS","Retrosheet",165,7,1,0
"CLE-20240409-0","2024-04-09",2024,"CHA","CLE","Retrosheet",166,7,5,0
"KCA-20240409-0","2024-04-09",2024,"HOU","KCA","Retrosheet",167,3,4,1
"MIN-20240409-0","2024-04-09",2024,"LAN","MIN","Retrosheet",168,6,3,0
"NYA-20240409-0","2024-04-09",2024,"MIA","NYA","Retrosheet",169,2,3,1
"TEX-20240409-0","2024-04-09",2024,"OAK","TEX","Retrosheet",170,4,3,0
"TOR-20240409-0","2024-04-09",2024,"SEA","TOR","Retrosheet",171,3,5,1
"CIN-20240410-0","2024-04-10",2024,"MIL","CIN","Retrosheet",172,7,2,0
"COL-20240410-0","2024-04-10",2024,"ARI","COL","Retrosheet",173,5,3,0
"SDN-20240410-0","2024-04-10",2024,"CHN","SDN","Retrosheet",174,2,10,1
"SFN-20240410-0","2024-04-10",2024,"WAS","SFN","Retrosheet",175,1,7,1
"SLN-20240410-0","2024-04-10",2024,"PHI","SLN","Retrosheet",176,4,3,0
"ANA-20240410-0","2024-04-10",2024,"TBA","ANA","Retrosheet",177,4,2,0
"BOS-20240410-0","2024-04-10",2024,"BAL","BOS","Retrosheet",178,7,5,0
