"game_id","game_date","season","away_team","home_team","source_name","source_row_number"
"KCA-20240406-0","2024-04-06",2024,"CHA","KCA","Retrosheet",126
"MIN-20240406-0","2024-04-06",2024,"CLE","MIN","Retrosheet",127
"NYA-20240406-0","2024-04-06",2024,"TOR","NYA","Retrosheet",128
"TEX-20240406-0","2024-04-06",2024,"HOU","TEX","Retrosheet",129
"ATL-20240407-0","2024-04-07",2024,"ARI","ATL","Retrosheet",130
"CHN-20240407-0","2024-04-07",2024,"LAN","CHN","Retrosheet",131
"CIN-20240407-0","2024-04-07",2024,"NYN","CIN","Retrosheet",132
"COL-20240407-0","2024-04-07",2024,"TBA","COL","Retrosheet",133
"MIL-20240407-0","2024-04-07",2024,"SEA","MIL","Retrosheet",134
"PIT-20240407-0","2024-04-07",2024,"BAL","PIT","Retrosheet",135
"SFN-20240407-0","2024-04-07",2024,"SDN","SFN","Retrosheet",136
"SLN-20240407-0","2024-04-07",2024,"MIA","SLN","Retrosheet",137
"WAS-20240407-0","2024-04-07",2024,"PHI","WAS","Retrosheet",138
"ANA-20240407-0","2024-04-07",2024,"BOS","ANA","Retrosheet",139
"DET-20240407-0","2024-04-07",2024,"OAK","DET","Retrosheet",140
"KCA-20240407-0","2024-04-07",2024,"CHA","KCA","Retrosheet",141
"NYA-20240407-0","2024-04-07",2024,"TOR","NYA","Retrosheet",142
"TEX-20240407-0","2024-04-07",2024,"HOU","TEX","Retrosheet",143
"ATL-20240408-0","2024-04-08",2024,"NYN","ATL","Retrosheet",144
"CIN-20240408-0","2024-04-08",2024,"MIL","CIN","Retrosheet",145
"COL-20240408-0","2024-04-08",2024,"ARI","COL","Retrosheet",146
"PIT-20240408-0","2024-04-08",2024,"DET","PIT","Retrosheet",147
"SDN-20240408-0","2024-04-08",2024,"CHN","SDN","Retrosheet",148
"SFN-20240408-0","2024-04-08",2024,"WAS","SFN","Retrosheet",149
"SLN-20240408-0","2024-04-08",2024,"PHI","SLN","Retrosheet",150
"ANA-20240408-0","2024-04-08",2024,"TBA","ANA","Retrosheet",151
"CLE-20240408-0","2024-04-08",2024,"CHA","CLE","Retrosheet",152
"MIN-20240408-0","2024-04-08",2024,"LAN","MIN","Retrosheet",153
"NYA-20240408-0","2024-04-08",2024,"MIA","NYA","Retrosheet",154
"TEX-20240408-0","2024-04-08",2024,"HOU","TEX","Retrosheet",155
"TOR-20240408-0","2024-04-08",2024,"SEA","TOR","Retrosheet",156
"ATL-20240409-0","2024-04-09",2024,"NYN","ATL","Retrosheet",157
"CIN-20240409-0","2024-04-09",2024,"MIL","CIN","Retrosheet",158
"COL-20240409-0","2024-04-09",2024,"ARI","COL","Retrosheet",159
"PIT-20240409-0","2024-04-09",2024,"DET","PIT","Retrosheet",160
