"game_id","game_date","season","away_team","home_team","away_score","home_score","y_true_home_win","source_name","source_row_number"
"WAS-20240405-0","2024-04-05",2024,"PHI","WAS",4,0,0,"Retrosheet",109
"ANA-20240405-0","2024-04-05",2024,"BOS","ANA",8,6,0,"Retrosheet",110
"DET-20240405-0","2024-04-05",2024,"OAK","DET",4,5,1,"Retrosheet",111
"KCA-20240405-0","2024-04-05",2024,"CHA","KCA",1,2,1,"Retrosheet",112
"NYA-20240405-0","2024-04-05",2024,"TOR","NYA",3,0,0,"Retrosheet",113
"TEX-20240405-0","2024-04-05",2024,"HOU","TEX",2,10,1,"Retrosheet",114
"ATL-20240406-0","2024-04-06",2024,"ARI","ATL",8,9,1,"Retrosheet",115
"CHN-20240406-0","2024-04-06",2024,"LAN","CHN",4,1,0,"Retrosheet",116
"CIN-20240406-0","2024-04-06",2024,"NYN","CIN",6,9,1,"Retrosheet",117
"COL-20240406-0","2024-04-06",2024,"TBA","COL",8,6,0,"Retrosheet",118
"MIL-20240406-0","2024-04-06",2024,"SEA","MIL",5,3,0,"Retrosheet",119
"PIT-20240406-0","2024-04-06",2024,"BAL","PIT",4,5,1,"Retrosheet",120
"SFN-20240406-0","2024-04-06",2024,"SDN","SFN",4,0,0,"Retrosheet",121
"SLN-20240406-0","2024-04-06",2024,"MIA","SLN",1,3,1,"Retrosheet",122
"WAS-20240406-0","2024-04-06",2024,"PHI","WAS",5,2,0,"Retrosheet",123
"ANA-20240406-0","2024-04-06",2024,"BOS","ANA",1,2,1,"Retrosheet",124
"DET-20240406-0","2024-04-06",2024,"OAK","DET",4,0,0,"Retrosheet",125
"KCA-20240406-0","2024-04-06",2024,"CHA","KCA",0,3,1,"Retrosheet",126
"MIN-20240406-0","2024-04-06",2024,"CLE","MIN",3,1,0,"Retrosheet",127
"NYA-20240406-0","2024-04-06",2024,"TOR","NYA",8,9,1,"Retrosheet",128
"TEX-20240406-0","2024-04-06",2024,"HOU","TEX",2,7,1,"Retrosheet",129
"ATL-20240407-0","2024-04-07",2024,"ARI","ATL",2,5,1,"Retrosheet",130
"CHN-20240407-0","2024-04-07",2024,"LAN","CHN",1,8,1,"Retrosheet",131
"CIN-20240407-0","2024-04-07",2024,"NYN","CIN",3,1,0,"Retrosheet",132
"COL-20240407-0","2024-04-07",2024,"TBA","COL",3,2,0,"Retrosheet",133
"MIL-20240407-0","2024-04-07",2024,"SEA","MIL",4,12,1,"Retrosheet",134
"PIT-20240407-0","2024-04-07",2024,"BAL","PIT",2,3,1,"Retrosheet",135
"SFN-20240407-0","2024-04-07",2024,"SDN","SFN",2,3,1,"Retrosheet",136
"SLN-20240407-0","2024-04-07",2024,"MIA","SLN",10,3,0,"Retrosheet",137
"WAS-20240407-0","2024-04-07",2024,"PHI","WAS",2,3,1,"Retrosheet",138
"ANA-20240407-0","2024-04-07",2024,"BOS","ANA",12,2,0,"Retrosheet",139
"DET-20240407-0","2024-04-07",2024,"OAK","DET",7,1,0,"Retrosheet",140
"KCA-20240407-0","2024-04-07",2024,"CHA","KCA",3,5,1,"Retrosheet",141
"NYA-20240407-0","2024-04-07",2024,"TOR","NYA",3,8,1,"Retrosheet",142
"TEX-20240407-0","2024-04-07",2024,"HOU","TEX",3,1,0,"Retrosheet",143
"ATL-20240408-0","2024-04-08",2024,"NYN","ATL",8,7,0,"Retrosheet",144
"CIN-20240408-0","2024-04-08",2024,"MIL","CIN",8,10,1,"Retrosheet",145
"COL-20240408-0","2024-04-08",2024,"ARI","COL",5,7,1,"Retrosheet",146
